"","id.x","xcoord","ycoord","NM_MU","IVS_2000","IVS_INF_00","IVS_CPH_00","IVS_REN_00","IVS_2010","IVS_INF_10","IVS_CPH_10","IVS_REN_10","MASC","FEM","POP","DOM_OCU","Dens_Dom","Dens_hab","ocup_2000","ocup_2010","ocup_2018","Pop_Urbana","Pop_Rural","Pop_Total","Area","VTN_MED","URB_RURAL"
"47","F1499",-36.0586707389901,-8.00900281865285,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,311,325,636,179,0.004,0.015867997423958,1,0,0,34125,1429,35554,346,5105.25,1
"48","F1500",-36.0586405855328,-8.00903601959071,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,311,325,636,179,0.004,0.015867997423958,1,0,0,34125,1429,35554,346,5105.25,1
"49","F1501",-36.0586148296045,-8.00907924666401,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,311,325,636,179,0.004,0.015867997423958,1,0,0,34125,1429,35554,346,5105.25,1
"50","F1503",-36.0585296526399,-8.0091816168098,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,311,325,636,179,0.004,0.015867997423958,1,0,0,34125,1429,35554,346,5105.25,1
"51","F1509",-36.0584298231568,-8.00930757559682,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,311,325,636,179,0.004,0.015867997423958,1,0,0,34125,1429,35554,346,5105.25,1
"52","F1510",-36.0584035747987,-8.00932470066099,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,311,325,636,179,0.004,0.015867997423958,1,0,0,34125,1429,35554,346,5105.25,1
"53","F1511",-36.0583737962342,-8.00934177513429,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,311,325,636,179,0.004,0.015867997423958,1,0,0,34125,1429,35554,346,5105.25,1
"54","F1513",-36.0583053658663,-8.009401974559,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,311,325,636,179,0.004,0.015867997423958,1,0,0,34125,1429,35554,346,5105.25,1
"55","F1514",-36.0582377811664,-8.00951450507363,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,311,325,636,179,0.004,0.015867997423958,1,0,0,34125,1429,35554,346,5105.25,1
"56","F1513",-36.0582466610419,-8.00946314400026,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,311,325,636,179,0.004,0.015867997423958,1,0,0,34125,1429,35554,346,5105.25,1
"57","F1515",-36.0582686685877,-8.00948710886407,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,311,325,636,179,0.004,0.015867997423958,1,0,0,34125,1429,35554,346,5105.25,1
"58","F1520",-36.0581825879977,-8.00968204534752,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,311,325,636,179,0.004,0.015867997423958,1,0,0,34125,1429,35554,346,5105.25,1
"59","F1089",-36.0572434590368,-8.01048524121967,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"60","F1090",-36.0572764207319,-8.01049177869154,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"61","F1091",-36.0573147827412,-8.01049921957456,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"62","F1092",-36.0573547458089,-8.01050719999929,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"63","F1095",-36.0574582103732,-8.01049474355035,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
